MID,MID Type,DBA,Client ID,Partner,Submitted Date,Approval Date,Related Acquiring MID,Rep,,,
255714,Gateway,Activus Technologies Corporation,10000103 - Activus Technologies Corporation,Activus Technologies,2016-03-14,2016-03-14,1239220055003918,AxiaMed House,,,
13485,Gateway,Buffalo Ambulatory Surgery Center,10000937 - Buffalo Ambulatory Surgery Center,Clariti Health,2019-06-10,2019-06-10,1239220055029426,AxiaMed House,,,
13502,Gateway,Tidewater Orthopaedics Associates,10007275 - Tidewater Orthopaedics Associates,Clariti Health,2019-09-19,2019-09-19,1239220055031398,AxiaMed House,,,
13511,Gateway,Mercy West MOB Labs,10004404 - Mercy Health,Experian Health,2019-12-17,2019-12-17,1239220055024914,AxiaMed House,,,
13512,Gateway,Mercy Lima UNOH,10004404 - Mercy Health,Experian Health,2019-12-17,2019-12-17,1239220055009618,AxiaMed House,,,
13513,Gateway,Lorain Outreach Labs,10004404 - Mercy Health,Experian Health,2019-12-17,2019-12-17,1239220055024864,AxiaMed House,,,
13514,Gateway,Lourdes Outreach Labs,10004404 - Mercy Health,Experian Health,2020-01-03,2020-01-03,1239220055024872,AxiaMed House,,,
13515,Gateway,Mercy Springfield Labs,10004404 - Mercy Health,Experian Health,2020-01-03,2020-01-03,1239220055024906,AxiaMed House,,,
13516,Gateway,Integrated Labs,10004404 - Mercy Health,Experian Health,2020-01-03,2020-01-03,1239220055024856,AxiaMed House,,,
377828,Gateway,"KIM DOWNES, INC","10003772 - Kim Downes, Inc.",Blitz Medical Billing (partner),2020-10-15,2020-10-15,1239220055038666,AxiaMed House,,,
377827,Gateway,MORPHEUS SERVICES,10004610 - Morpheus Services,Blitz Medical Billing (partner),2020-10-15,2020-10-15,1239220055038781,AxiaMed House,,,
377829,Gateway,BERETTA MANAGEMENT SERVIC,10000738 - Beretta Management Services,Blitz Medical Billing (partner),2020-10-15,2020-10-15,1239220055038765,AxiaMed House,,,
13517,Gateway,Mercy Howland Labs,10004404 - Mercy Health,Experian Health,2020-01-03,2020-01-03,1239220055024898,AxiaMed House,,,
13518,Gateway,Marcum and Wallace,10004404 - Mercy Health,Experian Health,2020-01-07,2020-01-07,1239220055017918,AxiaMed House,,,
13522,Gateway,Current Physical Therapy,10001706 - Current Physical Therapy,MWTherapy,2020-02-18,2020-02-18,1239220055033964,AxiaMed House,,,
13528,Gateway,Momentum Health and Wellness Institute,10004560 - Momentum Health and Wellness Institute,Office Ally,2020-02-25,2020-02-25,1239220055033956,AxiaMed House,,,
13529,Gateway,Camisa Physical Therapy and Sports Rehab,10000993 - Camisa Physical Therapy and Sports Rehab,MWTherapy,2020-02-25,2020-02-25,1239220055033717,AxiaMed House,,,
13530,Gateway,River Valley Sports & Physical Therapy,10005786 - River Valley Sports & Physical Therapy,MWTherapy,2020-02-26,2020-02-26,1239220055034103,AxiaMed House,,,
13532,Gateway,"Functional Fitness and Physical Therapy, LLC","10002788 - Functional Fitness and Physical Therapy, LLC",MWTherapy,2020-02-26,2020-02-26,1239220055034202,AxiaMed House,,,
14136,Gateway,"Kim Downes, Inc","10003772 - Kim Downes, Inc.",Blitz Medical Billing (partner),2020-10-19,2020-10-19,1239220055038666,AxiaMed House,,,
13534,Gateway,Results Physical Therapy - Fair Oaks,10008135 - Results Physical Therapy,MWTherapy,2020-02-26,2020-02-26,1239220055034160,AxiaMed House,,,
13535,Gateway,Results Physical Therapy - Elk Grove,10008135 - Results Physical Therapy,MWTherapy,2020-02-26,2020-02-26,1239220055034186,AxiaMed House,,,
16472,Gateway,Rocky Mountain Pathology Consultants,10009711 - Rocky Mountain Pathology Consultants,Blitz Medical Billing (partner),2022-01-05,2022-01-05,1239220055047923,AxiaMed House,,,
13536,Gateway,Eastside Primary Care & Wellness,10002306 - Eastside Primary Care & Wellness,Office Ally,2020-03-02,2020-03-02,1239220055027198,AxiaMed House,,,
13537,Gateway,Visage Facial Plastic Surgery,10007652 - Visage Facial Plastic Surgery,Office Ally,2020-03-02,2020-03-02,1239220055012919,AxiaMed House,,,
13538,Gateway,"Medstation Miami Primary Care, LLC","10004366 - Medstation Miami Primary Care, LLC",Office Ally,2020-03-02,2020-03-02,1239220055033089,AxiaMed House,,,
13539,Gateway,"Erickson's, Inc.","10002507 - Erickson's, Inc.",Office Ally,2020-03-02,2020-03-02,1239220055028162,AxiaMed House,,,
13540,Gateway,Santelli Chiropractic Clinic,10006007 - Santelli Chiropractic Clinic,Office Ally,2020-03-02,2020-03-02,1239220055033295,AxiaMed House,,,
13541,Gateway,Prana Functional Manual Therapy,10005494 - Prana Functional Manual Therapy,MWTherapy,2020-03-03,2020-03-03,1239220055034236,AxiaMed House,,,
297594,Gateway,"Med-South, Inc. - Foley",10008092 - Med-South,Bonafide,2017-04-28,2017-04-28,1239220055007497,AxiaMed House,,,
13542,Gateway,Medcalf and Schommer Physical Therapy,10004332 - Medcalf & Schommer Physical Therapy,MWTherapy,2020-03-03,2020-03-03,1239220055034335,AxiaMed House,,,
13544,Gateway,Sports Rehabilitation Unlimited LLC,10000138 - Advanced Sports Therapy LLC,MWTherapy,2020-03-04,2020-03-04,1239220055034301,AxiaMed House,,,
13545,Gateway,Advanced Sports Therapy LLC,10000138 - Advanced Sports Therapy LLC,MWTherapy,2020-03-04,2020-03-04,1239220055034319,AxiaMed House,,,
297613,Gateway,"Bay Home Medical Services, Inc. - Mobile ",10008092 - Med-South,Bonafide,2017-04-28,2017-04-28,1239220055007570,AxiaMed House,,,
13548,Gateway,Suh Esthetics,10002306 - Eastside Primary Care & Wellness,Office Ally,2020-03-09,2020-03-09,1239220055034392,AxiaMed House,,,
13550,Gateway,"Frank J. Valente, DC PC","10002754 - Frank J. Valente, DC, PC",Office Ally,2020-03-11,2020-03-11,1239220055034426,AxiaMed House,,,
13551,Gateway,"Blackstone Valley Physical Therapy Services, Inc.","10000774 - Blackstone Valley Physical Therapy Services, Inc.",MWTherapy,2020-03-11,2020-03-11,1239220055034293,AxiaMed House,,,
13554,Gateway,The Art of Healing,10007071 - The Art of Healing,Office Ally,2020-03-18,2020-03-18,1239220055034491,AxiaMed House,,,
13555,Gateway,Real Life Counseling - Tech center Ste 210,"10005683 - Real Life Counseling, PLLC",Office Ally,2020-03-24,2020-03-24,1239220055034525,AxiaMed House,,,
13556,Gateway,"Riverview Psychiatric Medicine, PC","10005796 - Riverview Psychiatric Medicine, PC",Office Ally,2020-03-24,2020-03-24,1239220055034608,AxiaMed House,,,
339085,Gateway,"Home Sleep Delivered, LLC",10007634 - VieMed,Bonafide,2018-11-26,2018-11-26,1239220055023353,AxiaMed House,,,
13557,Gateway,"Real Life Counseling, PLLC","10005683 - Real Life Counseling, PLLC",Office Ally,2020-03-24,2020-03-24,1239220055034533,AxiaMed House,,,
13558,Gateway,Plainfield Spine And Rehab,10005446 - Plainfield Spine And Rehab,Office Ally,2020-03-24,2020-03-24,1239220055034574,AxiaMed House,,,
342938,Gateway,Home Medical Products (Memphis),10008079 - Home Medical Products,Bonafide,2019-01-28,2019-01-28,1239220055025036,AxiaMed House,,,
