MID,V MC,Discover,Amex
1239220055029962,2.99,2.99,2.99
1239220055031232,2.99,2.99,2.99
1239220055013024,2.59,2.59,2.59
1239220055029822,2.59,2.59,2.59
1239220055030903,2.59,2.59,2.59
1239220055031729,2.59,2.59,2.59
1239220055031760,2.59,2.59,2.59
1239220055031778,2.59,2.59,2.59
1239220055026927,2.69,2.69,2.69
1239220055034772,2.69,2.69,2.69
1239220055014071,2.79,2.79,2.79
1239220055016894,2.79,2.79,2.79
1239220055018684,2.79,2.79,2.79
1239220055021647,2.79,2.79,2.79
1239220055023189,2.79,2.79,2.79
1239220055025150,2.79,2.79,2.79
1239220055026711,2.79,2.79,2.79
1239220055027099,2.79,2.79,2.79
1239220055027750,2.79,2.79,2.79
1239220055030531,2.79,2.79,2.79
1239220055032032,2.79,2.79,2.79
1239220055034210,2.79,2.79,2.79
1239220055011408,2.99,2.99,2.99
1239220055011416,2.99,2.99,2.99
1239220055011507,2.99,2.99,2.99
1239220055011515,2.99,2.99,2.99
1239220055011606,2.99,2.99,2.99
1239220055011671,2.99,2.99,2.99
1239220055011713,2.99,2.99,2.99
1239220055011747,2.99,2.99,2.99
1239220055011754,2.99,2.99,2.99
1239220055011788,2.99,2.99,2.99
1239220055011796,2.99,2.99,2.99
1239220055011804,2.99,2.99,2.99
1239220055011812,2.99,2.99,2.99
1239220055011853,2.99,2.99,2.99
1239220055011911,2.99,2.99,2.99
1239220055011937,2.99,2.99,2.99
1239220055011945,2.99,2.99,2.99
1239220055011952,2.99,2.99,2.99
1239220055012265,2.99,2.99,2.99
1239220055012273,2.99,2.99,2.99
1239220055012281,2.99,2.99,2.99
1239220055012307,2.99,2.99,2.99
1239220055012331,2.99,2.99,2.99
1239220055012349,2.99,2.99,2.99
1239220055012455,2.99,2.99,2.99
1239220055012471,2.99,2.99,2.99
1239220055012497,2.99,2.99,2.99
1239220055012570,2.99,2.99,2.99
1239220055012638,2.99,2.99,2.99
1239220055012646,2.99,2.99,2.99
1239220055012653,2.99,2.99,2.99
1239220055012695,2.99,2.99,2.99
1239220055012711,2.99,2.99,2.99
1239220055012729,2.99,2.99,2.99
1239220055012737,2.99,2.99,2.99
1239220055012745,2.99,2.99,2.99
1239220055012778,2.99,2.99,2.99
1239220055012810,2.99,2.99,2.99
1239220055012869,2.99,2.99,2.99
1239220055012877,2.99,2.99,2.99
1239220055012919,2.99,2.99,2.99
1239220055012927,2.99,2.99,2.99
1239220055012943,2.99,2.99,2.99
1239220055012968,2.99,2.99,2.99
1239220055012984,2.99,2.99,2.99
1239220055012992,2.99,2.99,2.99
1239220055013040,2.99,2.99,2.99
1239220055013057,2.99,2.99,2.99
1239220055013065,2.99,2.99,2.99
1239220055013073,2.99,2.99,2.99
1239220055013081,2.99,2.99,2.99
1239220055013099,2.99,2.99,2.99
1239220055013107,2.99,2.99,2.99
1239220055013123,2.99,2.99,2.99
1239220055013131,2.99,2.99,2.99
1239220055013149,2.99,2.99,2.99
1239220055013156,2.99,2.99,2.99
1239220055013164,2.99,2.99,2.99
1239220055013198,2.99,2.99,2.99
1239220055013206,2.99,2.99,2.99
1239220055013214,2.99,2.99,2.99
