MID,DBA Name,VI/MC,AMEX,DISC,DEBIT,EBT,,VI/MC,AMEX,DISC,DEBIT,EBT
7641000030000989,BRYANT & SONS LTD.       ,0.12,,0.12,0.21,,,0.03,,0.03,0.28,
7641000030000991,BRYANT & SONS- MONTECITO ,0.13,,0.13,,,,0.03,0.12,0.03,,
7641000030001025,OPTICAL HEIGHTS          ,0.3,0.3,0.3,,,,,0.1,0.1,,
7641000030001135,AYERS AUTOMOTIVE REPAIRS ,0.21,0.32,0.21,0.02,,,,0.12,,0.28,
7641000030001169,CODYS CAFE               ,0.07,0.07,0.07,,,,0.095,0.095,0.095,,
7641000030001251,PEVS PRO SHOP - ALDIE    ,0.52,0.52,0.52,0.52,,,0.13,0.13,0.13,,
7641000030001350,"MID PACIFIC STEEL, INC.  ",0.11,0.11,0.11,0.11,,,0.12,0.12,0.12,,
7641000030001366,MOBILE SERVICES AUTO DETA,0.27,0.27,0.27,0.27,,,0.13,0.12,0.12,,
7641000030001378,POLKADOTS AND MOONBEAMS  ,0.12,,0.12,0.12,,,0.06,0.08,0.06,,
7641000030001379,POLKADOTS AND MOONBEAMS V,0.12,,0.12,0.12,,,0.06,,0.06,,
7641000030001406,ISLAND GUITARS           ,0.17,0.17,0.17,0.05,,,0.05,0.12,0.12,0.11,
7641000030001415,CENTRAL COAST SURFBOARDS ,0.22,,0.22,0.22,,,0.05,0.12,0.12,0.33,
7641000030001430,CAR TUNES                ,0.27,,0.27,0.05,,,0.05,0.12,0.12,0.11,
7641000030001443,FRAME FACTORY - HARRISONB,0.31,0.31,0.31,0.31,,,0.13,0.13,0.13,,
7641000030001449,COCONUT GROVE MUSIC      ,0.17,0.17,0.17,0.05,,,0.05,0.12,0.12,0.21,
7641000030001486,GERMAN AUTO SPECIALISTS  ,0.19,0.19,0.19,0.19,,,0.05,0.05,0.12,,
7641000030001492,SHERATON DENVER WEST     ,0.12,,0.12,0.12,,,0.13,0.12,0.13,,
7641000030001566,WESTERN PACIFIC MECHANICA,2.35,0.52,2.35,0.02,,,,,0.12,,
7641000030001590,BISHOP DIEGO HIGH SCHOOL ,0.46,0.51,0.46,0.51,,,0.13,0.13,,,
7641000030001597,ALLIANCE BOARD COMPANY   ,0.21,0.26,0.13,0.05,,,0.11,0.12,0.12,0.21,
7641000030001681,BIKRAM YOGA              ,2.12,2.12,2.12,2.12,,,,,0.12,,
7641000030001685,DOLPHIN BAY RESORT & SPA ,0.09,0.08,0.09,,,,0.11,0.11,0.11,,
7641000030001686,LIDO RESTAURANT          ,0.09,0.08,0.09,,,,0.11,0.11,0.11,,
7641000030001718,ACCOUNTABILITY PLUS INC. ,2.14,0.52,2.14,2.14,,,0.23,0.12,0.12,,
7641000030001724,BAY BREEZE INN           ,0.16,0.16,0.16,0.16,,,0.19,0.12,0.12,,
